,Titles,Brands,Prices,Stars,Urls,Ratings,Review_Words
0,"Echo Buds – Wireless earbuds with immersive sound, active noise reduction, and Alexa",Brand: Amazon,$89.99,3.7 out of 5,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0853027IFMANDV71A9L&url=%2FEcho-Buds%2Fdp%2FB07F6VM1S3%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Din%2Bear%2Bearbuds%26qid%3D1598947258%26sr%3D8-1-spons%26psc%3D1&qualifier=1598947258&id=2143122980478648&widgetName=sp_atf,"9,683 ratings","['sound quality', 'noise reduction', 'noise cancellation', 'battery life', 'alexa app', 'noise cancelling', 'double tap', 'earbud', 'alexa integration', 'touch controls', 'active noise', 'wireless earbuds', 'stopped working']"
1,"UGREEN HiTune Wireless Earbuds, Bluetooth Earbuds with Microphone HiFi Stereo In-Ear Headphones, cVc 8.0 Noise Cancelling, Touch Control, 27h Playtime, USB-C Quick Charge, Waterproof, aptX TWS, Sports",Visit the UGREEN Store,$39.99,4.4 out of 5,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03831933KBB8U4MRYEQ7&url=%2FUGREEN-Microphone-Headphones-Cancelling-Waterproof%2Fdp%2FB0851C5KLV%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Din%2Bear%2Bearbuds%26qid%3D1598947258%26sr%3D8-2-spons%26psc%3D1&qualifier=1598947258&id=2143122980478648&widgetName=sp_atf,141 ratings,"['sound quality', 'battery life', 'wireless earbuds', 'easy to pair', 'phone calls', 'long battery', 'earbuds', 'price point', 'noise canceling', 'charging case', 'usb-c charging', 'fit my ears', 'quality is great', 'better than i expected']"
2,"Panasonic ErgoFit In-Ear Earbud Headphones RP-HJE120K Dynamic Crystal-Clear Sound, Ergonomic Comfort-Fit, 9mm, Black",Visit the Panasonic Store,$8.20,4.2 out of 5,/Panasonic-Headphones-RP-HJE120-K-Ergonomic-Comfort-Fit/dp/B003EM8008/ref=sr_1_3?dchild=1&keywords=in+ear+earbuds&qid=1598947258&sr=8-3,"82,279 ratings","['sound quality', 'stopped working', 'highly recommend', 'another pair', 'much better', 'bang for your buck', 'second pair', 'earbud', 'fit my ears', 'great value', 'skullcandy', 'outside noise', 'ever owned', 'work well']"
3,"Sony MDRXB50AP Extra Bass Earbud Headphones/Headset with Mic for Phone Call, Black",Visit the Sony Store,$29.99,4.4 out of 5,/Sony-MDRXB50AP-Extra-Earbud-Headset/dp/B00JRD13T8/ref=sr_1_4?dchild=1&keywords=in+ear+earbuds&qid=1598947258&sr=8-4,"9,812 ratings","['sound quality', 'extra bass', 'stopped working', 'highly recommend', 'noise cancellation', 'bang for your buck', 'another pair', 'good sound', 'noise cancelling', 'second pair', 'ever owned', 'much better', 'earbud']"
4,"Wireless Earbuds, Mpow M30 in-Ear Bluetooth Headphones, Immersive Bass Sound, IPX8 Waterproof Sport Earphones, Touch Control Bluetooth Earbuds, 25 Hrs w/USB-C Charging Case/Twin&Mono Mode/Mics,Black",Visit the Mpow Store,$27.43,4.6 out of 5,/Mpow-Bluetooth-Immersive-Waterproof-Headphones/dp/B0832GH4WF/ref=sr_1_5?dchild=1&keywords=in+ear+earbuds&qid=1598947258&sr=8-5,"10,702 ratings","['sound quality', 'battery life', 'wireless earbuds', 'noise cancellation', 'highly recommend', 'touch controls', 'easy to use', 'noise cancelling', 'great price', 'true wireless', 'price point', 'definitely recommend', 'earbud']"
5,Shure SE215-CL Sound Isolating Earphones with Single Dynamic MicroDriver,Visit the Shure Store,$99.00,4.4 out of 5,/Shure-SE215-CL-Isolating-Earphones-MicroDriver/dp/B004PO10E2/ref=sxin_7?ascsubtag=amzn1.osa.7ed9f5fd-8b16-4d60-8211-6197d6620e20.ATVPDKIKX0DER.en_US&creativeASIN=B004PO10E2&cv_ct_cx=in+ear+earbuds&cv_ct_id=amzn1.osa.7ed9f5fd-8b16-4d60-8211-6197d6620e20.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_wn=osp-single-source&dchild=1&keywords=in+ear+earbuds&linkCode=oas&pd_rd_i=B004PO10E2&pd_rd_r=44f59e25-7387-400b-beed-5751a697c7fb&pd_rd_w=HAs8A&pd_rd_wg=xkoYz&pf_rd_p=7f9a42bd-c050-43e5-9e70-deb13f53640d&pf_rd_r=YXMA67461CSEYGYKXFZV&qid=1598947258&sr=1-1-72d6bf18-a4db-4490-a794-9cd9552ac58d&tag=rsonsite-20,"1,932 ratings","['sound quality', 'sound isolation', 'noise isolation', 'highly recommend', 'stopped working', 'noise cancellation', 'in-ear monitors', 'noise cancelling', 'around your ear', 'ear canal', 'much better', 'price range', 'outside noise']"
6,"KZ AS10 Earbuds Pure 5 Balanced Armature 5BA Earphone, Musician in Ear Monitor Headphone High Fidelity HiFi Headset (No Microphone, Green)",Brand: KINBOOFI,$59.99,4.6 out of 5,/Balanced-Armature-Earphone-Headphone-Microphone/dp/B07GWLJFQ2/ref=sxin_7?ascsubtag=amzn1.osa.7ed9f5fd-8b16-4d60-8211-6197d6620e20.ATVPDKIKX0DER.en_US&creativeASIN=B07GWLJFQ2&cv_ct_cx=in+ear+earbuds&cv_ct_id=amzn1.osa.7ed9f5fd-8b16-4d60-8211-6197d6620e20.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_wn=osp-single-source&dchild=1&keywords=in+ear+earbuds&linkCode=oas&pd_rd_i=B07GWLJFQ2&pd_rd_r=44f59e25-7387-400b-beed-5751a697c7fb&pd_rd_w=HAs8A&pd_rd_wg=xkoYz&pf_rd_p=7f9a42bd-c050-43e5-9e70-deb13f53640d&pf_rd_r=YXMA67461CSEYGYKXFZV&qid=1598947258&sr=1-2-72d6bf18-a4db-4490-a794-9cd9552ac58d&tag=rsonsite-20,718 ratings,"['sound quality', 'foam tips', 'price point', 'low end', 'high end', 'earbuds', 'blown away', 'memory foam', 'great value', 'bang for your buck', 'highly recommend', 'noise isolation', 'bass response', 'ear tips']"
7,Yinyoo KZ ZST Hybrid Banlance Armature with Dynamic in-Ear Earphone 1BA+1DD HiFi Headset (ZST mic),Visit the Yinyoo Store,$20.99,4.4 out of 5,/Yinyoo-ZST-Banlance-Armature-monitors/dp/B01LZ6Y51W/ref=sxin_7?ascsubtag=amzn1.osa.7ed9f5fd-8b16-4d60-8211-6197d6620e20.ATVPDKIKX0DER.en_US&creativeASIN=B01LZ6Y51W&cv_ct_cx=in+ear+earbuds&cv_ct_id=amzn1.osa.7ed9f5fd-8b16-4d60-8211-6197d6620e20.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_wn=osp-single-source&dchild=1&keywords=in+ear+earbuds&linkCode=oas&pd_rd_i=B01LZ6Y51W&pd_rd_r=44f59e25-7387-400b-beed-5751a697c7fb&pd_rd_w=HAs8A&pd_rd_wg=xkoYz&pf_rd_p=7f9a42bd-c050-43e5-9e70-deb13f53640d&pf_rd_r=YXMA67461CSEYGYKXFZV&qid=1598947258&sr=1-3-72d6bf18-a4db-4490-a794-9cd9552ac58d&tag=rsonsite-20,"2,820 ratings","['sound quality', 'foam tips', 'in-ear monitors', 'highly recommend', 'price point', 'bang for your buck', 'low end', 'noise cancellation', 'memory foam', 'build quality', 'blown away', 'worship team']"
8,"Wireless Earbuds, HSPRO Bluetooth 5.0 Earbuds Touch Control in-Ear True Wireless Headphones, 20 Hrs Playtime with Charging Case, Hi-Fi Stereo Earbuds with Built-in Mic for Sports and Work",Brand: HSPRO,$19.98,4.5 out of 5,https://aax-us-east.amazon-adsystem.com/x/c/QjaAyTV9wumCI34guBNgKfIAAAF0SK7xOQEAAAH2AUVRiLk/https://www.amazon.com/dp/B088M68HFK?pd_rd_i=B088M68HFK&pd_rd_w=ZZQAG&pf_rd_p=79129a86-d1fa-4102-a31b-233a9aa9d9ac&pd_rd_wg=xkoYz&pf_rd_r=YXMA67461CSEYGYKXFZV&pd_rd_r=44f59e25-7387-400b-beed-5751a697c7fb,903 ratings,"['sound quality', 'battery life', 'comfortable to wear', 'easy to use', 'bluetooth connection', 'long time', 'listening to music', 'charging case', 'wireless earbuds', 'quality is very good', 'earbuds', 'easy to carry']"
9,"Panasonic ErgoFit In-Ear Earbud Headphones RP-HJE120K Dynamic Crystal-Clear Sound, Ergonomic Comfort-Fit, 9mm, Black",Visit the Panasonic Store,$8.20,4.2 out of 5,/Panasonic-Headphones-RP-HJE120-K-Ergonomic-Comfort-Fit/dp/B003EM8008/ref=sxin_9_ac_d_rm?ac_md=0-0-aW4gZWFyIGVhcmJ1ZHM%3D-ac_d_rm&cv_ct_cx=in+ear+earbuds&dchild=1&keywords=in+ear+earbuds&pd_rd_i=B003EM8008&pd_rd_r=44f59e25-7387-400b-beed-5751a697c7fb&pd_rd_w=P6dSS&pd_rd_wg=xkoYz&pf_rd_p=54ae11ea-870e-480b-a70f-1f4a57c2e311&pf_rd_r=YXMA67461CSEYGYKXFZV&psc=1&qid=1598947258&sr=1-1-12d4272d-8adb-4121-8624-135149aa9081,"82,280 ratings","['sound quality', 'stopped working', 'highly recommend', 'another pair', 'much better', 'bang for your buck', 'second pair', 'earbud', 'fit my ears', 'great value', 'skullcandy', 'outside noise', 'ever owned', 'work well']"
