,Titles,Brands,Prices,Stars,Ratings,Review_Words
0,"JLab Audio JBuds Air Sport True Wireless Bluetooth Earbuds + Charging Case - Black - IP66 Sweat Resistance - Class 1 Bluetooth 5.0 Connection - 3 EQ Sound Settings JLab Signature, Balanced, Bass Boost",JLAB,69.0,4.1,1815.0,"['sound quality', 'battery life', 'stopped working', 'earbud', 'left earbud', 'right earbud', 'wireless earbuds', 'true wireless', 'stay in place', 'left ear', 'touch controls', 'foam tips', 'right ear', 'great sound', 'audio quality']"
1,Panasonic RPHV21R In-Ear Earbud Heaphones with Built-in Clip (Red) (Discontinued by Manufacturer),Panasonic,17.6,3.8,37.0,"['earbuds', 'big for my ears', 'another pair', 'great price', 'sound quality', 'earbuds', 'headphones', 'pink', 'red', 'value', 'clip', 'inexpensive', 'uncomfortable', 'comfortably', 'expensive', 'gym', 'ipod', 'pairs']"
2,Jabra BT2050 Bluetooth Headset (Black),Jabra,,4.2,27.0,"['ear', 'bluetooth', 'headset', 'verizon', 'earpiece', 'hear', 'pairing', 'samsung']"
3,Panasonic Canal Type Earphone High Resolution Sound Source Compatible RP-HDE5-S （Silver）,Panasonic,,4.7,25.0,['No Review']
4,Sony ECM-TL3 Earphone-Style Mini Electret Condenser Microphone,Sony,17.99,4.2,215.0,"['sound quality', 'crystal clear', 'sides of the conversation', 'make sure', 'works great', 'cell phone', 'take notes', 'ear piece', 'phone call', 'mic jack', 'works well', 'works perfectly', 'easy to use', 'voice recorder']"
5,"Shure SE535-CL Earphones, CBL-M+-K-EFS Music Phone Cable with Remote and Mic for iPhone, iPod and iPad",Shure,,4.0,0.0,['No Review']
6,JBL Everest Elite 100 NXTGen Noise-Cancelling Bluetooth In-Ear Headphones Black,JBL,69.95,3.2,31.0,"['battery life', 'noise cancelling', 'poor battery', 'charging', 'neck', 'volume', 'audio', 'bluetooth', 'buttons', 'hrs', 'dont', 'loud', 'mine', 'paid']"
7,"Skullcandy Women's XT PLYO Headphones , Pink/Orange/Orange",Skullcandy,23.39,4.5,22.0,['No Review']
8,"JBL Reflect Mini 2.0, in-Ear Wireless Sport Headphone with 3-Button Mic/Remote",JBL,44.99,3.9,532.0,"['battery life', 'sound quality', 'stopped working', 'reflect mini', 'phone calls', 'google pixel', 'less than 6 months', 'fully charged', 'pair with pixel', 'long time', 'noise cancellation', 'years ago', 'much better']"
9,JVC Clip Style Headphone Blue and White Lightweight and Comfortable Ear Clip. Splash Proof Water resistant Powerful Sound with Bass Boost HAEB75A,JVC,11.81,4.0,2733.0,"['sound quality', 'small ears', 'hard plastic', 'much better', 'ear canal', 'earbud', 'work well', 'sports clip', 'part that goes', 'quality is good', 'pair of headphones', 'sound quality is good', 'highly recommend', 'great value']"
10,Philips SHE7005A/28 In-Ear Headset for Android (Black),PHILIPS,24.51,3.7,80.0,"['sound quality', 'hands free', 'listening to music', 'work great', 'come with three different', 'phone calls', 'in-ear headset', 'works well', 'audio quality', 'earbud', 'different size', 'answer calls']"
11,JBL OR100 In-Ear Headphones Black,JBL,37.95,3.0,3.0,['No Review']
12,Sony Deep Bass Earphones with Smartphone Control and Mic - Metallic Black,Sony,34.7,4.3,1265.0,['No Review']
13,"Monster iSport Intensity In-Ear Wireless Sports Headphones (Earbuds) - Neon Green, Running, Sweatproof",Monster,29.99,3.1,81.0,['No Review']
14,JBL Lifestyle Reflect Contour 2 Sweatproof Wireless Sport in-Ear Headphones - Black (Renewed),Amazon Renewed,43.95,4.0,44.0,['No Review']
15,"Sennheiser AMBEO Smart Headset (iOS) – in-Ear Headphones with Binaural Audio - Active Noise Cancellation, Transparent Hearing and 3D Sound Recording - Black",Sennheiser Consumer Audio,139.99,,0.0,['No Review']
16,JVC Headphones HA-FX10-W-E,JVC,16.51,3.9,35.0,['No Review']
17,"Sony WI-SP500 Wireless in-Ear Sports Headphones, White (WISP500/W)",Sony,,3.8,314.0,"['sound quality', 'battery life', 'earbuds', 'stay in place', 'wireless headphones', 'sound good', 'great sound', 'disconnect and reconnect', 'ambient noise', 'stay put', 'phone calls', 'ear canal', 'noise canceling']"
18,"Audio-Technica ATH-CKR70iSBK Sound Reality In-Ear High-Resolution Headphones with In-Line Mic & Control, Black",Audio-Technica,79.7,3.7,10.0,['No Review']
