Brands,Ratings,Prices,Stars,Titles,Sum,Weighted Score
Skullcandy,2.413175699847972,-0.7116899353446311,0.7727543893637664,0.33342542635957023,2.8076655802266774,1.4706581947257085
Panasonic,2.320523610756813,-0.6936100047784435,-0.21151847230849488,0.7427145030987055,2.1581096367685797,1.2471506569673352
Sony,1.6944456070538678,-0.06936016076039864,-0.025955295162779484,2.4332563418038293,4.032386492934519,0.8997803294599956
JVC,0.47704164863869064,-0.5932975109774519,-0.04275713503985547,2.6112081142991053,2.4521951169204885,0.5146669738876306
SAMSUNG,0.23855721555622325,-0.3920149034178769,1.3582578208633604,-0.2004298911262583,1.0043702418754485,0.48658528764202275
PHILIPS,-0.05115342122881877,-0.9734419615029035,-0.6704566401908286,-0.12924918212814784,-1.8243012050506988,0.12845976175332946
JBL,-0.16728418701699116,-0.415005435417828,-0.12521722862092285,0.3868109581081531,-0.3206958929475889,0.04352084864892544
Sennheiser Consumer Audio,-0.19455071680468786,1.0646338206273722,0.39100070822330263,-0.7876707403606696,0.47341307168531743,-0.3681213641236941
Jabra,-0.21327954597528878,0.18879766853446453,-1.644532536653668,-0.6631044996139763,-2.3321189137084684,-0.5146768285606518
JLAB,-0.23459373519191168,-0.8444498716219109,0.014437006763904244,-0.7520803858616144,-1.8166869859115327,0.11305116270991314
Amazon Renewed,-0.5391551610785217,-0.3724379087975521,0.33783379511085515,0.04870259036712834,-0.5250566843980904,-0.060886561305541674
Shure,-0.6225480537257881,2.085106589081061,0.06925513080726843,-0.538538258867283,0.9932754072952582,-0.9187544876828334
Bang & Olufsen,-0.6501452691007666,2.4174228824613384,-0.40150753093354413,-0.8944418038578353,0.47132827856919224,-1.142815832213347
Audio-Technica,-0.6708582117950589,0.29143798565651896,-0.32013109848050214,0.19106400836334927,-0.5084873162556929,-0.44379061028266514
Beats,-0.6818008985014774,1.4814591274113849,3.1457420199645747,-1.0368032218540564,2.9085970270204258,-0.1739398996488681
Plantronics,-0.7130657176626732,-0.11519224591777333,-0.7264320005138815,-0.8232610948597249,-2.377951058954053,-0.4727713540186335
Monster,-0.7350713403799763,-0.7151148033904486,-0.300385346488232,-0.3961768408710621,-2.146748331129719,-0.19613357349505428
Koss,-0.773190369895742,-0.9421995599939446,-1.5098008017903874,0.2800398946109874,-2.945150837069087,-0.35323396408242863
Pioneer,-0.8970471534958637,-0.6910437718509793,-0.11058678491393953,-0.8054659176101973,-2.5041436278709797,-0.25874874038114265
