,Words,Counts
0,sound quality,558
1,battery life,238
2,stopped working,198
3,earbud,122
4,left earbud,39
5,right earbud,28
6,wireless earbuds,55
7,true wireless,31
8,stay in place,39
9,left ear,25
10,touch controls,25
11,foam tips,23
12,right ear,15
13,great sound,217
14,audio quality,16
15,earbuds,273
16,big for my ears,2
17,another pair,65
18,great price,26
19,headphones,166
20,pink,3
21,red,3
22,value,8
23,clip,8
24,inexpensive,2
25,uncomfortable,11
26,comfortably,2
27,expensive,6
28,gym,17
29,ipod,12
30,pairs,8
31,ear,76
32,bluetooth,46
33,headset,19
34,verizon,1
35,earpiece,7
36,hear,43
37,pairing,1
38,samsung,1
39,crystal clear,3
40,sides of the conversation,1
41,make sure,12
42,works great,10
43,cell phone,8
44,take notes,1
45,ear piece,10
46,phone call,4
47,mic jack,1
48,works well,9
49,works perfectly,4
50,easy to use,31
51,voice recorder,1
52,noise cancelling,86
53,poor battery,1
54,charging,11
55,neck,6
56,volume,37
57,audio,31
58,buttons,2
59,hrs,1
60,dont,3
61,loud,7
62,mine,3
63,paid,2
64,reflect mini,2
65,phone calls,49
66,google pixel,1
67,less than 6 months,1
68,fully charged,13
69,pair with pixel,1
70,long time,37
71,noise cancellation,108
72,years ago,23
73,much better,92
74,small ears,29
75,hard plastic,8
76,ear canal,64
77,work well,25
78,sports clip,2
79,part that goes,1
80,quality is good,29
81,pair of headphones,19
82,sound quality is good,7
83,highly recommend,63
84,great value,13
85,hands free,6
86,listening to music,71
87,work great,12
88,come with three different,1
89,in-ear headset,1
90,different size,6
91,answer calls,1
92,wireless headphones,26
93,sound good,39
94,disconnect and reconnect,1
95,ambient noise,15
96,stay put,22
97,noise canceling,4
98,backbeat fit,3
99,seems like,2
100,good sound,128
101,right side,12
102,sound and battery,2
103,great headphones,11
104,running,24
105,stay,35
106,broke,11
107,ears,60
108,mic,18
109,bass,68
110,durability,1
111,calls,15
112,compared,4
113,wire,7
114,cheaper,1
115,comfort,8
116,died,2
117,due,2
118,impressed,2
119,noise,41
120,sound great,78
