,Titles,Brands,Prices,Stars,Urls,Ratings,Review_Words
0,"JLab Audio JBuds Air Sport True Wireless Bluetooth Earbuds + Charging Case - Black - IP66 Sweat Resistance - Class 1 Bluetooth 5.0 Connection - 3 EQ Sound Settings JLab Signature, Balanced, Bass Boost",Visit the JLAB Store,$69.00,4.1 out of 5,/Audio-Wireless-Bluetooth-Earbuds-Charging/dp/B07R7DT3JV/ref=sr_1_5?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AJLAB&rnid=2528832011&s=electronics&sr=1-5,"1,815 ratings","['sound quality', 'battery life', 'stopped working', 'earbud', 'left earbud', 'right earbud', 'wireless earbuds', 'true wireless', 'stay in place', 'left ear', 'touch controls', 'foam tips', 'right ear', 'great sound', 'audio quality']"
1,Panasonic RPHV21R In-Ear Earbud Heaphones with Built-in Clip (Red) (Discontinued by Manufacturer),Visit the Panasonic Store,$17.60,3.8 out of 5,/Panasonic-RPHV21R-Heaphones-Discontinued-Manufacturer/dp/B0015AFNAG/ref=sr_1_57?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298335&refinements=p_89%3APanasonic&rnid=2528832011&s=electronics&sr=1-57,37 ratings,"['earbuds', 'big for my ears', 'another pair', 'great price', 'sound quality', 'earbuds', 'headphones', 'pink', 'red', 'value', 'clip', 'inexpensive', 'uncomfortable', 'comfortably', 'expensive', 'gym', 'ipod', 'pairs']"
2,Jabra BT2050 Bluetooth Headset (Black),Visit the Jabra Store,No Price,4.2 out of 5,/Jabra-BT2050-Bluetooth-Headset-Black/dp/B002ACP20E/ref=sr_1_35?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298475&refinements=p_89%3AJabra&rnid=2528832011&s=electronics&sr=1-35,27 ratings,"['ear', 'bluetooth', 'headset', 'verizon', 'earpiece', 'hear', 'pairing', 'samsung']"
3,Panasonic Canal Type Earphone High Resolution Sound Source Compatible RP-HDE5-S （Silver）,Visit the Panasonic Store,No Price,4.7 out of 5,/Panasonic-earphone-resolution-compatible-RP-HDE5-S/dp/B01MSZQ095/ref=sr_1_51?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298335&refinements=p_89%3APanasonic&rnid=2528832011&s=electronics&sr=1-51,25 ratings,['No Review']
4,Sony ECM-TL3 Earphone-Style Mini Electret Condenser Microphone,Visit the Sony Store,$17.99,4.2 out of 5,/Earphone-Microphone-Conversations-Telephone-Recording/dp/B009W4B0W2/ref=sr_1_35?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298213&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-35,215 ratings,"['sound quality', 'crystal clear', 'sides of the conversation', 'make sure', 'works great', 'cell phone', 'take notes', 'ear piece', 'phone call', 'mic jack', 'works well', 'works perfectly', 'easy to use', 'voice recorder']"
5,"Shure SE535-CL Earphones, CBL-M+-K-EFS Music Phone Cable with Remote and Mic for iPhone, iPod and iPad",Visit the Shure Store,No Price,4 out of 5,/Shure-SE535-CL-Earphones-CBL-M-K-EFS/dp/B006JI5DW2/ref=sr_1_39?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298695&refinements=p_89%3AShure&rnid=2528832011&s=electronics&sr=1-39,1 rating,['No Review']
6,JBL Everest Elite 100 NXTGen Noise-Cancelling Bluetooth In-Ear Headphones Black,Visit the JBL Store,$69.95,3.2 out of 5,/JBL-Everest-Noise-Cancelling-Bluetooth-Headphones/dp/B01D0CEC62/ref=sr_1_108?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298823&refinements=p_89%3AJBL&rnid=2528832011&s=electronics&sr=1-108,31 ratings,"['battery life', 'noise cancelling', 'poor battery', 'charging', 'neck', 'volume', 'audio', 'bluetooth', 'buttons', 'hrs', 'dont', 'loud', 'mine', 'paid']"
7,"Skullcandy Women's XT PLYO Headphones , Pink/Orange/Orange",Visit the Skullcandy Store,$23.39,4.5 out of 5,/Skullcandy-Womens-PLYO-Headphones-Orange/dp/B013UIXUOQ/ref=sr_1_54?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298666&refinements=p_89%3ASkullcandy&rnid=2528832011&s=electronics&sr=1-54,22 ratings,['No Review']
8,"JBL Reflect Mini 2.0, in-Ear Wireless Sport Headphone with 3-Button Mic/Remote",Visit the JBL Store,$44.99,3.9 out of 5,/JBL-Everest-Wireless-Headphones-Black/dp/B018S9RY1M/ref=sr_1_21?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AJBL&rnid=2528832011&s=electronics&sr=1-21,532 ratings,"['battery life', 'sound quality', 'stopped working', 'reflect mini', 'phone calls', 'google pixel', 'less than 6 months', 'fully charged', 'pair with pixel', 'long time', 'noise cancellation', 'years ago', 'much better']"
9,JVC Clip Style Headphone Blue and White Lightweight and Comfortable Ear Clip. Splash Proof Water resistant Powerful Sound with Bass Boost HAEB75A,Visit the JVC Store,$11.81,4 out of 5,/Headphone-Lightweight-Comfortable-resistant-JVC/dp/B003AIL2H4/ref=sr_1_24?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-24,"2,733 ratings","['sound quality', 'small ears', 'hard plastic', 'much better', 'ear canal', 'earbud', 'work well', 'sports clip', 'part that goes', 'quality is good', 'pair of headphones', 'sound quality is good', 'highly recommend', 'great value']"
10,Philips SHE7005A/28 In-Ear Headset for Android (Black),Visit the PHILIPS Store,$24.51,3.7 out of 5,/Philips-SHE7005A-28-Headset-Android/dp/B006WHPQE0/ref=sr_1_52?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298549&refinements=p_89%3APHILIPS&rnid=2528832011&s=electronics&sr=1-52,80 ratings,"['sound quality', 'hands free', 'listening to music', 'work great', 'come with three different', 'phone calls', 'in-ear headset', 'works well', 'audio quality', 'earbud', 'different size', 'answer calls']"
11,JBL OR100 In-Ear Headphones Black,Visit the JBL Store,$37.95,3 out of 5,/JBL-OR100-In-Ear-Headphones-Black/dp/B072QXK79J/ref=sr_1_74?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298820&refinements=p_89%3AJBL&rnid=2528832011&s=electronics&sr=1-74,3 ratings,['No Review']
12,Sony Deep Bass Earphones with Smartphone Control and Mic - Metallic Black,Visit the Sony Store,$34.70,4.3 out of 5,/Sony-Deep-Earphones-Smartphone-Control/dp/B00I3LUUIU/ref=sr_1_127?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298233&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-127,"1,265 ratings",['No Review']
13,"Monster iSport Intensity In-Ear Wireless Sports Headphones (Earbuds) - Neon Green, Running, Sweatproof",Visit the Monster Store,$29.99,3.1 out of 5,/Monster-Intensity-Wireless-Headphones-Earbuds/dp/B01M21M2P5/ref=sr_1_13?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AMonster&rnid=2528832011&s=electronics&sr=1-13,81 ratings,['No Review']
14,JBL Lifestyle Reflect Contour 2 Sweatproof Wireless Sport in-Ear Headphones - Black (Renewed),Visit the Amazon Renewed Store,$43.95,4 out of 5,/JBL-Lifestyle-Sweatproof-Wireless-Headphones/dp/B07LGG73SH/ref=sr_1_51?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298816&refinements=p_89%3AJBL&rnid=2528832011&s=electronics&sr=1-51,44 ratings,['No Review']
15,"Sennheiser AMBEO Smart Headset (iOS) – in-Ear Headphones with Binaural Audio - Active Noise Cancellation, Transparent Hearing and 3D Sound Recording - Black",Visit the Sennheiser Consumer Audio Store,$139.99,No Review,/Sennheiser-AMBEO-Smart-Headset-Ear/dp/B08F72P94X/ref=sr_1_31?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298513&refinements=p_89%3ASennheiser+Consumer+Audio&rnid=2528832011&s=electronics&sr=1-31,No Ratings,['No Review']
16,JVC Headphones HA-FX10-W-E,Visit the JVC Store,$16.51,3.9 out of 5,/JVC-HA-FX10-W-E-Headphones/dp/B00VEEZEMA/ref=sr_1_204?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298761&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-204,35 ratings,['No Review']
17,"Sony WI-SP500 Wireless in-Ear Sports Headphones, White (WISP500/W)",Visit the Sony Store,No Price,3.8 out of 5,/Sony-WI-SP500-Wireless-Headphones-WISP500/dp/B079GY5D86/ref=sr_1_77?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298226&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-77,314 ratings,"['sound quality', 'battery life', 'earbuds', 'stay in place', 'wireless headphones', 'sound good', 'great sound', 'disconnect and reconnect', 'ambient noise', 'stay put', 'phone calls', 'ear canal', 'noise canceling']"
18,"Audio-Technica ATH-CKR70iSBK Sound Reality In-Ear High-Resolution Headphones with In-Line Mic & Control, Black",Visit the Audio-Technica Store,$79.70,3.7 out of 5,/Audio-Technica-ATH-CKR70iSBK-Reality-High-Resolution-Headphones/dp/B06XPK8M2P/ref=sr_1_24?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AAudio-Technica&rnid=2528832011&s=electronics&sr=1-24,10 ratings,['No Review']
19,"Plantronics BackBeat FIT 300 Sweatproof Sport Earbuds, Wireless Headphones, Black/Grey",Visit the Plantronics Store,$28.99,3.2 out of 5,/Plantronics-BackBeat-Sweatproof-Wireless-Headphones/dp/B074VFG6M8/ref=sr_1_11?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3APlantronics&rnid=2528832011&s=electronics&sr=1-11,49 ratings,"['sound quality', 'backbeat fit', 'battery life', 'right ear', 'stopped working', 'left earbud', 'seems like', 'good sound', 'right side', 'sound and battery', 'great headphones', 'running', 'stay', 'broke', 'ears', 'bluetooth']"
20,Audio-Technica ATH-LS200iS In-Ear Dual Armature Driver Headphones with In-Line Mic & Control,Visit the Audio-Technica Store,$249.00,4.2 out of 5,/Audio-Technica-ATH-LS200iS-Armature-Headphones-Control/dp/B06XPL2QXX/ref=sr_1_34?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298622&refinements=p_89%3AAudio-Technica&rnid=2528832011&s=electronics&sr=1-34,10 ratings,['No Review']
21,Sony MDR-EX110AP-B Ex Monitor in-Ear Headphones with Microphone (Black),Visit the Sony Store,No Price,4.2 out of 5,/MDR-EX110AP-B-Monitor-Auriculares-micr%C3%B3fono-color/dp/B00DLJYR0G/ref=sr_1_161?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298237&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-161,100 ratings,"['sound quality', 'another pair', 'good sound', 'mic', 'earbuds', 'bass', 'durability', 'ears', 'calls', 'compared', 'hear', 'wire', 'cheaper', 'comfort', 'died', 'due', 'earbud', 'impressed', 'noise']"
22,"Plantronics BackBeat FIT 2100 Wireless Headphones, Sweatproof and Waterproof in Ear Workout Headphones, Black (Renewed)",Visit the Amazon Renewed Store,No Price,2.9 out of 5,/Plantronics-BackBeat-Headphones-Sweatproof-Waterproof/dp/B07PGKLS1J/ref=sr_1_19?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3APlantronics&rnid=2528832011&s=electronics&sr=1-19,23 ratings,['No Review']
23,Powerbeats Pro Totally Wireless Earphones - Apple H1 Chip - Spring Yellow with AppleCare+ Bundle,Visit the Beats Store,$228.95,5 out of 5,/Powerbeats-Pro-Totally-Wireless-Earphones/dp/B08CL5FFCS/ref=sr_1_31?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298402&refinements=p_89%3ABeats&rnid=2528832011&s=electronics&sr=1-31,1 rating,['No Review']
24,Beats urBeats3 Earphones with 3.5 mm Plug - Black (Renewed),Visit the Amazon Renewed Store,$38.00,4.4 out of 5,/Beats-urBeats3-Earphones-3-5-Plug/dp/B07SJ8Z9YL/ref=sr_1_5?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3ABeats&rnid=2528832011&s=electronics&sr=1-5,361 ratings,"['sound quality', 'sound great', 'good sound', 'sound so good', 'earbuds', 'headphones', 'iphone', 'broke', 'cord', 'earphones', 'refurbished', 'renewed', 'bass', 'sounds']"
25,JBL Reflect Response in-Ear Bluetooth Sport Headphones,Visit the JBL Store,$59.95,3.3 out of 5,/JBL-Reflect-Response-Bluetooth-Headphones/dp/B01BX3ZSXQ/ref=sr_1_75?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298820&refinements=p_89%3AJBL&rnid=2528832011&s=electronics&sr=1-75,24 ratings,"['around the neck', 'sound quality', 'ear', 'headphones', 'sensitive', 'button', 'volume', 'worst']"
26,"Audio-Technica ATH-C200iS In-Ear Headphones with In-Line Mic & Control, Black",Visit the Audio-Technica Store,$14.99,3.1 out of 5,/Audio-Technica-ATH-C200iS-Headphones-Line-Control/dp/B07JGVVZYK/ref=sr_1_39?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298622&refinements=p_89%3AAudio-Technica&rnid=2528832011&s=electronics&sr=1-39,5 ratings,['No Review']
27,"Pioneer Hi-Res Audio in-Ear Headphones, Black SE-CH3T(B)",Visit the Pioneer Store,$23.00,4 out of 5,/Pioneer-Hi-Res-Audio-Headphones-SE-CH3T/dp/B07CZWLGW8/ref=sr_1_5?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3APIONEER&rnid=2528832011&s=electronics&sr=1-5,61 ratings,"['sound quality', 'in-ear headphones', 'audio in-ear', 'hi-res audio', 'comfortable to wear', 'audio books', 'earbud', 'clear sound', 'good sound', 'sound good', 'headphones that cost', 'excellent sound', 'sound suffered great']"
28,"Shure SE425 Sound Isolating Earphones with 3.5mm Cable, Remote and Mic, Silver",Visit the Shure Store,No Price,3.9 out of 5,/Shure-Isolating-Earphones-Remote-Silver/dp/B07WC31QJS/ref=sr_1_15?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AShure&rnid=2528832011&s=electronics&sr=1-15,16 ratings,['No Review']
29,"Sony WI-C300 Wireless In-Ear Headphones, Black (WIC300/B)",Visit the Sony Store,$29.00,3.8 out of 5,/Sony-WI-C300-Wireless-Headphones-WIC300/dp/B079GXN788/ref=sr_1_31?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298213&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-31,499 ratings,"['sound quality', 'battery life', 'great sound', 'wireless headphones', 'stopped working', 'in-ear headphones', 'earbud', 'phone calls', 'good sound', 'pretty good', 'right earbud', 'wireless in-ear']"
30,"Audio-Technica ATH-ANC300TW QuietPoint Wireless Active Noise-Cancelling in-Ear Headphones, Black",Visit the Audio-Technica Store,$229.00,4.2 out of 5,/Audio-Technica-ATH-ANC300TW-QuietPoint-Noise-Cancelling-Headphones/dp/B086Z33YFX/ref=sr_1_13?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AAudio-Technica&rnid=2528832011&s=electronics&sr=1-13,4 ratings,['No Review']
31,Audio-Technica ATH-WS1100iS Solid Bass Over-Ear Headphones with In-Line Microphone & Control,Visit the Audio-Technica Store,$132.99,4.3 out of 5,/Audio-Technica-ATH-WS1100iS-Over-Ear-Headphones-Microphone/dp/B018UB3HU0/ref=sr_1_46?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298622&refinements=p_89%3AAudio-Technica&rnid=2528832011&s=electronics&sr=1-46,424 ratings,"['audio technica', 'sound quality', 'build quality', 'solid bass', 'mids and highs', 'ear cups', 'pair of headphones', 'sound great', 'clamping force', 'ear pads', 'closed back', 'gaming headset', 'soundstage']"
32,Sony MDR-ZX310AP/R ZX Series Stereo Headset - Red,Visit the Sony Store,$27.99,4.4 out of 5,/Sony-MDR-ZX310AP-ZX-Stereo-Headset/dp/B00IKYI2J4/ref=sr_1_113?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298230&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-113,"2,179 ratings","['sound quality', 'stopped working', 'skull candy', 'noise cancelling', 'good for the price', 'great price', 'sound is good', 'price point', 'low end', 'pretty good', 'headphones', 'get what you pay', 'listening to music']"
33,JVC HAFX7MA GUMY Inner Ear Headphones with Remote and Microphone - Blue,Visit the JVC Store,$17.74,4.5 out of 5,/JVC-HAFX7MA-headphones-remote-microphone/dp/B01MYAGENW/ref=sr_1_137?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298751&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-137,29 ratings,['No Review']
34,Audio-Technica Inner Ear Headphone Black ATH-CKL220 BK,Visit the Audio-Technica Store,No Price,3.4 out of 5,/Audio-Technica-Inner-Headphone-ATH-CKL220-BK/dp/B010UKSJ5C/ref=sr_1_88?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298632&refinements=p_89%3AAudio-Technica&rnid=2528832011&s=electronics&sr=1-88,34 ratings,['No Review']
35,Audio-Technica Consumer ATH-DSR5BT Wireless in-Ear Headphones,Visit the Audio-Technica Store,$149.89,No Review,/Audio-Technica-Consumer-ATH-DSR5BT-Wireless-Headphones/dp/B07PZNS55K/ref=sr_1_48?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298622&refinements=p_89%3AAudio-Technica&rnid=2528832011&s=electronics&sr=1-48,No Ratings,['No Review']
36,Powerbeats3 Wireless In-Ear Headphones - Shock Yellow (Renewed),Visit the Amazon Renewed Store,$78.95,4.2 out of 5,/Powerbeats3-Wireless-Ear-Headphones-Renewed/dp/B06X97TJKR/ref=sr_1_23?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3ABeats&rnid=2528832011&s=electronics&sr=1-23,443 ratings,"['brand new', 'battery life', 'noise cancellation', 'waste of money', 'ear buds', 'sound quality', 'stopped working', 'great sound', 'last pair', 'new ones', 'great value', 'quality and battery', 'sound great', 'refurbished', 'bass']"
37,"Monster Diesel VEKTR On-Ear Headphones with ControlTalk, Black (Discontinued by Manufacturer)",Visit the Monster Store,No Price,3.1 out of 5,/Monster-Headphones-ControlTalk-Discontinued-Manufacturer/dp/B004923LQK/ref=sr_1_47?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298846&refinements=p_89%3AMonster&rnid=2528832011&s=electronics&sr=1-47,56 ratings,"['miles davis', 'sound quality', 'ear canal', 'davis trumpet', 'daily use', 'stopped working', 'pretty good', 'great sound', 'ear bud', 'carrying case', 'worth the price', 'excellent sound', 'feel like', 'sound amazing']"
38,Koss KE10 JAMS Earbuds - Stereo - Orange - Mini-Phone - Wired - 32 Ohm - 40 Hz 20 kHz - Earbud - Bi,Visit the Koss Store,No Price,No Review,/Koss-KE10-JAMS-Earbuds-Mini-Phone/dp/B00VJ2VX1S/ref=sr_1_50?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298254&refinements=p_89%3AKoss&rnid=2528832011&s=electronics&sr=1-50,No Ratings,['No Review']
39,8 Pack - SHURE EAYLF1 Yellow Universal Replacement Foam Ear Tips Sleeves fit SHURE SE110 SE112 SE115 SE210 SE215 SE310 SE315 SE420 SE425 SE530 SE535 E3c E3g E4c E4g E5c in-Ear Headphones Earphones,Visit the Shure Store,$14.89,4.1 out of 5,/PACK-Universal-Replacement-Ear-Headphones/dp/B015922KQ0/ref=sr_1_10?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AShure&rnid=2528832011&s=electronics&sr=1-10,22 ratings,['No Review']
40,Xtreme Xplosives Series Headphone with remote and Mic Blue (HAFX103A) - HAFX103MA,Visit the JVC Store,$15.90,4.2 out of 5,/Xtreme-Xplosives-Headphone-remote-HAFX103A/dp/B06WLGFFSJ/ref=sr_1_28?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298732&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-28,306 ratings,"['sound quality', 'earbuds', 'great sound', 'good sound', 'listen to music', 'earbuds instead', 'bass heavy', 'heavy bass', 'bought two more pair', 'sound is good', 'sound great', 'good sound quality', 'great bass']"
41,Koss In Ear Headphone iL100K - Black,Visit the Koss Store,$14.99,3.1 out of 5,/Koss-Ear-Headphone-iL100K-Black/dp/B007BD5KY0/ref=sr_1_12?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AKoss&rnid=2528832011&s=electronics&sr=1-12,13 ratings,['No Review']
42,Audio-Technica ATH-ANC33iS QuietPoint Active Noise-Cancelling In-Ear Headphones with In-Line Microphone & Control,Visit the Audio-Technica Store,$38.99,3.6 out of 5,/Technica-ATH-ANC33IS-QuietPoint-Noise-Cancelling-Earbuds/dp/B00CL3TAOQ/ref=sr_1_8?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AAudio-Technica&rnid=2528832011&s=electronics&sr=1-8,718 ratings,"['noise cancelling', 'sound quality', 'noise cancellation', 'active noise', 'noise reduction', 'audio technica', 'battery pack', 'background noise', 'battery life', 'aaa battery', 'volume control', 'foam tips', 'ambient noise']"
43,Skullcandy Ink'd 2.0 Mic'd Ear Bud Headphone (Black),Visit the Skullcandy Store,$16.95,4.1 out of 5,/Skullcandy-Microphone-Tangle-Reducing-Noise-Isolating-Precision/dp/B007136EDG/ref=sr_1_14?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3ASkullcandy&rnid=2528832011&s=electronics&sr=1-14,"4,941 ratings","['sound quality', 'stopped working', 'skullcandy', 'waste of money', 'earbud', 'another pair', 'volume control', 'good sound', 'listening to music', 'much better', 'headphones', 'last long', 'phone calls', 'left earbud']"
44,"Samsung Galaxy Buds+ Plus, True Wireless Earbuds w/Improved Battery and Call Quality (Wireless Charging Case Included), Purple with Fast Charge Wireless Charging Pad",Visit the SAMSUNG Store,No Price,4.8 out of 5,/Samsung-Wireless-Improved-Charging-Included/dp/B08B1NNMNQ/ref=sr_1_75?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298302&refinements=p_89%3ASAMSUNG&rnid=2528832011&s=electronics&sr=1-75,139 ratings,['No Review']
45,"Panasonic RP-HJE120 ErgoFit In-Ear Headphones Stereo Earbuds (6-Pack, Black)",Visit the Panasonic Store,$52.99,4.9 out of 5,/Panasonic-RP-HJE120-ErgoFit-Headphones-Earbuds/dp/B00HXTHFFO/ref=sr_1_21?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3APanasonic&rnid=2528832011&s=electronics&sr=1-21,28 ratings,"['earbuds', 'pack', 'decent', 'earphones', 'value', 'earbuds']"
