,Titles,Brands,Prices,Stars,Urls,Ratings,Review_Words
0,Bang & Olufsen Beoplay H4 Wireless Headphones - Black,Visit the Bang & Olufsen Store,$175.80,4.2 out of 5,/Bang-Olufsen-Beoplay-Wireless-Headphones/dp/B072NY334R/ref=sr_1_18?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3ABang+%26+Olufsen&rnid=2528832011&s=electronics&sr=1-18,"1,092 ratings","['sound quality', 'bang and olufsen', 'battery life', 'ear cups', 'noise cancelling', 'build quality', 'pair of headphones', 'great sound', 'center button', 'noise cancellation', 'price point', 'active noise', 'micro usb']"
1,Audio-Technica ATH-ANC40BT QuietPoint Active Noise-Cancelling Bluetooth Wireless In-Ear Headphones with In-Line Mic & Control,Visit the Audio-Technica Store,$59.99,3.3 out of 5,/Audio-Technica-ATH-ANC40BT-QuietPoint-Noise-Cancelling-Headphones/dp/B015N5341I/ref=sr_1_10?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AAudio-Technica&rnid=2528832011&s=electronics&sr=1-10,154 ratings,"['noise cancellation', 'noise cancelling', 'battery life', 'sound quality', 'audio technica', 'audio quality', 'earbuds', 'around the neck', 'sound great', 'active noise', 'pretty good', 'good sound', 'stay in my ears', 'ear pieces']"
2,Skullcandy Indy Evo True Wireless In-Ear Earbud - True Black,Visit the Skullcandy Store,$78.99,3.9 out of 5,/Skullcandy-Indy-True-Wireless-Earbud/dp/B084SC59D7/ref=sr_1_7?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3ASkullcandy&rnid=2528832011&s=electronics&sr=1-7,936 ratings,"['sound quality', 'battery life', 'skullcandy', 'ambient mode', 'indy evo', 'touch controls', 'charging case', 'wireless earbuds', 'noise cancellation', 'waste your money', 'small ears', 'phone calls', 'earbud', 'movie mode']"
3,JVC HA-F140-W Gumy Earbuds (Coconut White) (Discontinued by Manufacturer),Visit the JVC Store,No Price,4 out of 5,/JVC-HA-F140-W-Earbuds-Discontinued-Manufacturer/dp/B001QE32BI/ref=sr_1_82?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298744&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-82,18 ratings,"['great price', 'earbuds', 'earphones', 'bass', 'cord', 'headphones', 'ipod', 'replacement', 'buds', 'ear', 'player', 'solid']"
4,JVC Earclip Earbud Sport Earbud Earclip Black (HAEC10B) (HA-EC10B),Visit the JVC Store,$13.18,4.2 out of 5,/JVC-Earclip-Earbud-Sport-HAEC10B/dp/B01K7MY2N6/ref=sr_1_5?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-5,755 ratings,"['sound quality', 'good sound', 'stopped working', 'stay in place', 'keep falling', 'get what you pay', 'volume control', 'another pair', 'cord length', 'work well', 'ear clip', 'quit working', 'stay put']"
5,Plantronics Moisture-Resistant Earphones - Wireless - Bluetooth with Charging Case Cobalt Black (204352-01),Visit the Plantronics Store,$41.99,3.8 out of 5,/Plantronics-Moisture-Resistant-Earphones-Bluetooth-204352-01/dp/B01H45PT4K/ref=sr_1_4?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3APlantronics&rnid=2528832011&s=electronics&sr=1-4,75 ratings,"['sound quality', 'ear buds', 'battery life', 'outside noise', 'stay in my ear', 'tips', 'bass', 'headphones', 'bluetooth', 'earbuds', 'backbeat', 'charging', 'listen', 'devices', 'earbud', 'poor', 'rubber', 'travel']"
6,"JVC XX True Wireless Earbuds, Bluetooth connectivity, Extreme Deep Bass Ports, Tough Housing Protection & Durable Body, Bass Boost, Voice Assistant Compatible, Up to 3+9 Hours Battery Life - HAXC70BTR",Visit the JVC Store,$110.78,3.7 out of 5,/JVC-Wireless-Headphone-Black-HA-XC70BT/dp/B07FZ96GMT/ref=sr_1_30?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298732&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-30,61 ratings,"['sound quality', 'battery life', 'wireless earbuds', 'true wireless', 'earbuds', 'fully charged', 'charging case', 'carrying case', 'blue lights', 'bluetooth earbuds', 'long time', 'flat to bass', 'small size', 'great sound']"
7,Monster NTune 50 Wired Earbuds in-Ear Headphones (Black) (Black),Visit the Monster Store,$9.88,3.8 out of 5,/Monster-NTune-Wired-Earbuds-Headphones/dp/B07WS2PJ43/ref=sr_1_19?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AMonster&rnid=2528832011&s=electronics&sr=1-19,3 ratings,['No Review']
8,Skullcandy SCS2FXFM-003 Earbuds Headphones Black,Visit the Skullcandy Store,$34.99,3.6 out of 5,/Skullcandy-SCS2FXFM-003-Earbuds-Headphones-Black/dp/B00BYVY5ZA/ref=sr_1_60?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298666&refinements=p_89%3ASkullcandy&rnid=2528832011&s=electronics&sr=1-60,144 ratings,"['earbuds', 'sound quality', 'skullcandy', 'second pair', 'play pause', 'sound great', 'good sound', 'stay in place', 'great sound', 'controls did not work', 'quality is good', 'amazing sound', 'bought a pair']"
9,"Audio-Technica ATH-CLR100iSBK SonicFuel In-Ear Headphones with In-Line Microphone & Control, Black",Visit the Audio-Technica Store,$14.95,3.5 out of 5,/Audio-Technica-ATH-CLR100iSBK-SonicFuel-Headphones-Microphone/dp/B01DG5KHIU/ref=sr_1_5?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AAudio-Technica&rnid=2528832011&s=electronics&sr=1-5,672 ratings,"['sound quality', 'audio technica', 'stopped working', 'build quality', 'great sound', 'get what you pay', 'earbuds', 'low quality', 'poor quality', 'price point', 'working after 10 month', 'right earbud', 'cheap headphones']"
